stack,concurrency,mode,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err,write_rps,write_p50_ms,write_p99_ms,read_rps,read_p50_ms,read_p99_ms
go-pgx,1,mixed,5849,0.180,0.203,0.348,0.636,4.779,350955,0,4679,0.186,0.370,1170,0.091,0.184
go-pgx,8,mixed,25266,0.296,0.468,0.890,2.255,13.244,1515951,0,20205,0.320,0.943,5061,0.139,0.532
go-pgx,32,mixed,35593,0.826,1.332,2.450,4.005,17.945,2135576,0,28474,0.878,2.528,7119,0.550,1.982
go-pgx,64,mixed,35431,1.699,2.437,3.468,5.656,33.030,2125955,109,28335,1.755,3.537,7097,1.418,3.042
go-pgx,128,mixed,34344,3.526,4.587,6.062,12.721,602.012,2060646,2,27489,3.591,6.144,6855,3.225,5.616
go-pgx,256,mixed,33899,7.333,8.488,10.835,103.558,450.501,2033976,0,27128,7.406,10.917,6771,7.048,10.434
