stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,1,6760,0.140,0.178,0.227,0.393,4.219,405571,0
go-pgx,8,34493,0.210,0.311,0.623,1.755,16.025,2069567,0
go-pgx,32,47655,0.567,0.992,3.044,4.658,18.382,2859313,0
go-pgx,64,45423,1.150,1.871,4.138,6.606,590.748,2725404,0
go-pgx,128,49324,2.453,3.427,5.583,7.670,35.011,2959454,0
kotlin-vertx,1,7258,0.129,0.177,0.235,0.412,6.291,435503,0
kotlin-vertx,8,38330,0.193,0.279,0.439,1.462,26.840,2299778,0
kotlin-vertx,32,59940,0.472,0.686,1.453,3.674,480.275,3596430,0
kotlin-vertx,64,58143,0.963,1.261,2.596,5.457,860.412,3488582,0
kotlin-vertx,128,59500,1.996,2.447,4.913,9.156,280.414,3570051,0
rust-tokio,1,6025,0.151,0.243,0.278,0.426,7.527,361504,0
rust-tokio,8,42882,0.177,0.240,0.358,0.832,15.830,2572898,0
rust-tokio,32,59962,0.479,0.660,1.604,4.346,577.421,3597712,0
rust-tokio,64,61812,0.993,1.223,2.756,5.096,252.271,3708710,0
rust-tokio,128,60643,2.014,2.355,4.509,7.145,498.189,3638610,0
