stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,1,4929,0.198,0.233,0.296,0.544,24.384,49287,0
go-pgx,32,38684,0.716,1.160,2.432,6.656,20.743,386843,0
go-pgx,128,37235,3.132,4.044,8.889,15.057,29.322,372362,0
