stack,concurrency,mode,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err,write_rps,write_p50_ms,write_p99_ms,read_rps,read_p50_ms,read_p99_ms
go-pgx,1,read,4127,0.234,0.261,0.316,0.556,3.408,74286,0,0,0.000,0.000,4127,0.234,0.316
go-pgx,8,read,15336,0.478,0.735,1.290,1.930,5.000,276067,129,0,0.000,0.000,15336,0.478,1.290
go-pgx,32,read,20611,1.458,2.264,3.782,4.930,11.389,371010,0,0,0.000,0.000,20611,1.458,3.782
go-pgx,64,read,21456,2.796,4.509,6.715,8.606,55.768,386531,2239,0,0.000,0.000,21456,2.796,6.715
go-pgx,128,read,20976,5.874,8.660,11.346,13.510,25.896,377588,0,0,0.000,0.000,20976,5.874,11.346
rust-tokio,1,read,5100,0.188,0.209,0.243,0.438,3.871,91794,0,0,0.000,0.000,5100,0.188,0.243
rust-tokio,8,read,21033,0.364,0.467,0.700,1.381,4.517,378605,0,0,0.000,0.000,21033,0.364,0.700
rust-tokio,32,read,29212,1.059,1.457,2.146,4.347,7.566,525866,89,0,0.000,0.000,29212,1.059,2.146
rust-tokio,64,read,31699,1.964,2.664,3.938,5.977,17.467,571083,2376,0,0.000,0.000,31699,1.964,3.938
rust-tokio,128,read,30379,4.191,5.100,6.474,8.837,13.243,546852,0,0,0.000,0.000,30379,4.191,6.474
spring-vt,1,read,3553,0.263,0.306,0.464,1.126,4.170,63949,3,0,0.000,0.000,3553,0.263,0.464
spring-vt,8,read,13363,0.546,0.723,1.683,2.924,11.158,240538,0,0,0.000,0.000,13363,0.546,1.683
spring-vt,32,read,18448,1.517,2.443,5.469,8.075,12.724,332077,0,0,0.000,0.000,18448,1.517,5.469
spring-vt,64,read,17351,3.168,5.986,10.512,15.198,20.786,312326,0,0,0.000,0.000,17351,3.168,10.512
spring-vt,128,read,16753,6.927,11.037,20.266,28.688,53.186,301577,0,0,0.000,0.000,16753,6.927,20.266
