epoch,iso,http_code,latency_ms
1782404564,2026-06-25T16:22:44Z,200,488.4
1782404569,2026-06-25T16:22:49Z,200,6.5
1782404574,2026-06-25T16:22:54Z,200,4.4
1782404579,2026-06-25T16:22:59Z,200,6.9
1782404584,2026-06-25T16:23:04Z,200,11.2
1782404589,2026-06-25T16:23:09Z,200,3.7
1782404594,2026-06-25T16:23:14Z,200,7.2
1782404599,2026-06-25T16:23:19Z,200,7.6
1782404604,2026-06-25T16:23:25Z,200,8.2
1782404610,2026-06-25T16:23:30Z,200,5.5
1782404615,2026-06-25T16:23:35Z,200,5.6
1782404620,2026-06-25T16:23:40Z,200,10.3
1782404625,2026-06-25T16:23:45Z,200,5.4
1782404630,2026-06-25T16:23:50Z,200,5.6
1782404635,2026-06-25T16:23:55Z,200,5.6
1782404640,2026-06-25T16:24:00Z,200,10.2
1782404645,2026-06-25T16:24:05Z,200,6.0
1782404650,2026-06-25T16:24:10Z,200,4.6
1782404655,2026-06-25T16:24:15Z,200,6.0
1782404660,2026-06-25T16:24:20Z,200,6.1
1782404665,2026-06-25T16:24:25Z,200,5.8
1782404670,2026-06-25T16:24:30Z,200,8.9
1782404675,2026-06-25T16:24:35Z,200,5.3
1782404680,2026-06-25T16:24:40Z,200,5.4
1782404685,2026-06-25T16:24:45Z,200,6.0
1782404690,2026-06-25T16:24:50Z,200,10.7
1782404695,2026-06-25T16:24:55Z,200,4.5
1782404700,2026-06-25T16:25:00Z,200,12.2
1782404705,2026-06-25T16:25:05Z,200,9.5
1782404710,2026-06-25T16:25:10Z,200,4.9
1782404715,2026-06-25T16:25:15Z,200,4.6
1782404720,2026-06-25T16:25:20Z,200,7.3
1782404725,2026-06-25T16:25:25Z,200,5.0
1782404730,2026-06-25T16:25:30Z,200,6.5
1782404735,2026-06-25T16:25:35Z,200,5.0
1782404740,2026-06-25T16:25:40Z,200,7.8
1782404745,2026-06-25T16:25:45Z,200,7.0
1782404750,2026-06-25T16:25:50Z,200,6.8
1782404756,2026-06-25T16:25:56Z,200,4.9
1782404761,2026-06-25T16:26:01Z,200,5.0
1782404766,2026-06-25T16:26:06Z,200,4.7
1782404771,2026-06-25T16:26:11Z,200,6.8
1782404776,2026-06-25T16:26:16Z,200,4.9
1782404781,2026-06-25T16:26:21Z,200,8.2
1782404786,2026-06-25T16:26:26Z,200,5.5
1782404791,2026-06-25T16:26:31Z,200,3.4
1782404796,2026-06-25T16:26:36Z,200,5.0
1782404801,2026-06-25T16:26:41Z,200,2.2
1782404806,2026-06-25T16:26:46Z,200,5.0
1782404811,2026-06-25T16:26:51Z,200,5.1
1782404816,2026-06-25T16:26:56Z,200,3.1
1782404821,2026-06-25T16:27:01Z,200,4.5
1782404826,2026-06-25T16:27:06Z,200,4.0
1782404831,2026-06-25T16:27:11Z,200,3.8
1782404836,2026-06-25T16:27:16Z,200,4.0
1782404841,2026-06-25T16:27:21Z,200,3.2
1782404846,2026-06-25T16:27:26Z,200,4.5
1782404851,2026-06-25T16:27:31Z,200,3.4
1782404856,2026-06-25T16:27:36Z,200,3.1
1782404861,2026-06-25T16:27:41Z,200,4.7
1782404866,2026-06-25T16:27:46Z,200,4.4
1782404871,2026-06-25T16:27:51Z,200,4.4
1782404876,2026-06-25T16:27:56Z,200,4.7
1782404881,2026-06-25T16:28:01Z,200,6.9
1782404886,2026-06-25T16:28:06Z,200,4.9
1782404891,2026-06-25T16:28:11Z,200,3.9
1782404896,2026-06-25T16:28:16Z,200,3.1
1782404901,2026-06-25T16:28:21Z,200,4.8
1782404906,2026-06-25T16:28:26Z,200,3.1
1782404911,2026-06-25T16:28:31Z,200,2.6
1782404916,2026-06-25T16:28:36Z,200,3.0
1782404921,2026-06-25T16:28:42Z,200,7.8
1782404927,2026-06-25T16:28:47Z,200,5.5
1782404932,2026-06-25T16:28:52Z,200,8.5
1782404937,2026-06-25T16:28:57Z,200,2.5
1782404942,2026-06-25T16:29:02Z,200,3.1
1782404947,2026-06-25T16:29:07Z,200,4.5
1782404952,2026-06-25T16:29:12Z,200,4.9
1782404957,2026-06-25T16:29:17Z,200,3.9
1782404962,2026-06-25T16:29:22Z,200,4.1
1782404967,2026-06-25T16:29:27Z,200,3.7
1782404972,2026-06-25T16:29:32Z,200,3.6
1782404977,2026-06-25T16:29:37Z,200,4.9
1782404982,2026-06-25T16:29:42Z,200,4.0
1782404987,2026-06-25T16:29:47Z,200,4.3
1782404992,2026-06-25T16:29:52Z,200,3.9
1782404997,2026-06-25T16:29:57Z,200,4.8
1782405002,2026-06-25T16:30:02Z,200,4.9
1782405007,2026-06-25T16:30:07Z,200,7.4
1782405012,2026-06-25T16:30:12Z,200,7.3
1782405017,2026-06-25T16:30:17Z,200,10.6
1782405022,2026-06-25T16:30:22Z,200,4.8
1782405027,2026-06-25T16:30:27Z,200,24.1
1782405032,2026-06-25T16:30:32Z,200,4.8
1782405037,2026-06-25T16:30:37Z,200,9.1
1782405042,2026-06-25T16:30:42Z,200,5.4
1782405047,2026-06-25T16:30:47Z,200,4.4
1782405052,2026-06-25T16:30:52Z,200,2.3
1782405057,2026-06-25T16:30:57Z,200,3.1
1782405062,2026-06-25T16:31:02Z,200,4.1
1782405067,2026-06-25T16:31:07Z,200,4.3
1782405072,2026-06-25T16:31:12Z,200,3.6
1782405077,2026-06-25T16:31:18Z,200,3.0
1782405083,2026-06-25T16:31:23Z,200,7.1
1782405088,2026-06-25T16:31:28Z,200,3.2
1782405093,2026-06-25T16:31:33Z,200,5.3
1782405098,2026-06-25T16:31:38Z,200,6.2
1782405103,2026-06-25T16:31:43Z,200,3.1
1782405108,2026-06-25T16:31:48Z,200,5.0
1782405113,2026-06-25T16:31:53Z,200,3.5
1782405118,2026-06-25T16:31:58Z,200,3.5
1782405123,2026-06-25T16:32:03Z,200,4.1
1782405128,2026-06-25T16:32:08Z,200,5.6
1782405133,2026-06-25T16:32:13Z,200,2.7
1782405138,2026-06-25T16:32:18Z,200,5.1
1782405143,2026-06-25T16:32:23Z,200,4.4
1782405148,2026-06-25T16:32:28Z,200,3.0
1782405153,2026-06-25T16:32:33Z,200,4.5
1782405158,2026-06-25T16:32:38Z,200,2.3
1782405163,2026-06-25T16:32:43Z,200,2.9
