stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,1,4607,0.201,0.256,0.465,0.968,4.275,46070,0
go-pgx,32,31935,0.835,1.383,5.069,10.635,44.707,319351,0
go-pgx,128,32447,3.656,4.839,9.258,16.680,29.566,324482,0
kotlin-vertx,1,5409,0.172,0.215,0.362,0.568,2.493,54089,0
kotlin-vertx,32,32701,0.865,1.196,3.751,7.641,40.094,327022,0
kotlin-vertx,128,35149,3.458,4.219,8.456,13.029,30.860,351496,0
