stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,256,48091,5.172,6.524,8.959,13.315,42.978,2885500,0
kotlin-vertx,256,58069,4.066,4.735,9.103,28.319,548.930,3484165,0
rust-tokio,256,50538,4.205,4.780,7.624,310.569,916.658,3032342,0
