stack,concurrency,mode,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err,write_rps,write_p50_ms,write_p99_ms,read_rps,read_p50_ms,read_p99_ms
go-pgx,1,execute,2172,0.442,0.501,0.659,1.050,6.348,39099,0,2172,0.442,0.659,0,0.000,0.000
go-pgx,8,execute,11042,0.687,0.886,1.410,5.768,8.999,199072,4106,11042,0.687,1.410,0,0.000,0.000
go-pgx,32,execute,18721,1.593,2.378,3.961,7.038,34.830,336975,0,18721,1.593,3.961,0,0.000,0.000
go-pgx,64,execute,19537,3.079,4.813,7.185,9.413,38.680,351763,265,19537,3.079,7.185,0,0.000,0.000
go-pgx,128,execute,18638,6.557,9.406,12.099,16.029,69.516,335503,0,18638,6.557,12.099,0,0.000,0.000
rust-tokio,1,execute,1937,0.502,0.539,0.688,1.031,6.045,34875,0,1937,0.502,0.688,0,0.000,0.000
rust-tokio,8,execute,12782,0.594,0.741,0.958,3.755,7.128,230086,0,12782,0.594,0.958,0,0.000,0.000
rust-tokio,32,execute,23961,1.279,1.657,2.817,6.621,12.890,431302,0,23961,1.279,2.817,0,0.000,0.000
rust-tokio,64,execute,25448,2.445,3.224,5.109,7.766,10.169,458169,212,25448,2.445,5.109,0,0.000,0.000
rust-tokio,128,execute,24159,5.227,6.156,8.727,11.186,27.137,435385,2720,24159,5.227,8.727,0,0.000,0.000
spring-vt,1,execute,1896,0.490,0.616,0.799,1.976,20.554,34125,0,1896,0.490,0.799,0,0.000,0.000
spring-vt,8,execute,9013,0.809,1.086,2.178,6.139,9.651,162240,0,9013,0.809,2.178,0,0.000,0.000
spring-vt,32,execute,14688,1.880,3.280,6.925,9.480,20.499,264391,0,14688,1.880,6.925,0,0.000,0.000
spring-vt,64,execute,16429,3.505,5.636,10.318,15.892,25.326,295735,0,16429,3.505,10.318,0,0.000,0.000
spring-vt,128,execute,13999,8.263,13.136,22.148,33.582,529.007,252190,1932,13999,8.263,22.148,0,0.000,0.000
