stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,1,4857,0.198,0.242,0.363,0.674,13.113,48574,0
go-pgx,32,37742,0.725,1.192,3.726,7.839,21.343,377419,0
go-pgx,128,34718,3.463,4.337,8.778,12.919,21.456,347189,0
kotlin-vertx,1,5462,0.171,0.210,0.353,0.456,3.928,54622,0
kotlin-vertx,32,35041,0.852,1.113,2.180,6.054,11.710,350410,0
kotlin-vertx,128,34943,3.489,3.934,8.507,11.337,18.342,349439,0
