epoch,iso,http_code,latency_ms
1782535523,2026-06-27T04:45:23Z,200,283.5
1782535524,2026-06-27T04:45:24Z,200,3.2
1782535525,2026-06-27T04:45:25Z,200,5.0
1782535526,2026-06-27T04:45:26Z,200,5.1
1782535527,2026-06-27T04:45:27Z,200,5.5
1782535528,2026-06-27T04:45:28Z,200,6.5
1782535529,2026-06-27T04:45:29Z,200,6.0
1782535530,2026-06-27T04:45:30Z,200,7.3
1782535531,2026-06-27T04:45:31Z,200,5.3
1782535532,2026-06-27T04:45:32Z,200,9.4
1782535533,2026-06-27T04:45:33Z,200,4.6
1782535534,2026-06-27T04:45:34Z,200,9.0
1782535535,2026-06-27T04:45:35Z,200,10.2
1782535536,2026-06-27T04:45:37Z,200,6.4
1782535538,2026-06-27T04:45:38Z,200,3.6
1782535539,2026-06-27T04:45:39Z,200,8.8
1782535540,2026-06-27T04:45:40Z,200,8.5
1782535541,2026-06-27T04:45:41Z,200,11.3
1782535542,2026-06-27T04:45:42Z,200,3.7
1782535543,2026-06-27T04:45:43Z,200,10.7
1782535544,2026-06-27T04:45:44Z,200,7.3
1782535545,2026-06-27T04:45:45Z,200,9.1
1782535546,2026-06-27T04:45:46Z,200,3.3
1782535547,2026-06-27T04:45:47Z,200,3.3
1782535548,2026-06-27T04:45:48Z,200,9.8
1782535549,2026-06-27T04:45:49Z,200,4.0
1782535550,2026-06-27T04:45:50Z,200,7.4
1782535551,2026-06-27T04:45:51Z,200,6.3
1782535552,2026-06-27T04:45:52Z,200,5.0
1782535553,2026-06-27T04:45:53Z,200,3.1
1782535554,2026-06-27T04:45:54Z,200,4.0
1782535555,2026-06-27T04:45:55Z,200,11.5
1782535556,2026-06-27T04:45:56Z,200,5.2
1782535557,2026-06-27T04:45:57Z,200,6.1
1782535558,2026-06-27T04:45:58Z,200,3.5
1782535559,2026-06-27T04:45:59Z,200,4.3
1782535560,2026-06-27T04:46:00Z,200,5.3
1782535561,2026-06-27T04:46:01Z,200,4.6
1782535562,2026-06-27T04:46:02Z,200,3.5
1782535563,2026-06-27T04:46:03Z,200,5.1
1782535564,2026-06-27T04:46:04Z,200,5.3
1782535565,2026-06-27T04:46:05Z,200,3.4
1782535566,2026-06-27T04:46:06Z,200,2.8
1782535567,2026-06-27T04:46:07Z,200,2.8
1782535568,2026-06-27T04:46:08Z,200,4.0
1782535569,2026-06-27T04:46:10Z,200,3.6
1782535571,2026-06-27T04:46:11Z,200,3.7
1782535572,2026-06-27T04:46:12Z,200,3.7
1782535573,2026-06-27T04:46:13Z,200,4.9
1782535574,2026-06-27T04:46:14Z,200,3.6
1782535575,2026-06-27T04:46:15Z,200,3.8
1782535576,2026-06-27T04:46:16Z,200,9.0
1782535577,2026-06-27T04:46:17Z,200,3.2
1782535578,2026-06-27T04:46:18Z,200,3.6
1782535579,2026-06-27T04:46:19Z,200,6.8
1782535580,2026-06-27T04:46:20Z,200,4.9
1782535581,2026-06-27T04:46:21Z,200,5.2
1782535582,2026-06-27T04:46:22Z,200,5.4
1782535583,2026-06-27T04:46:23Z,200,4.5
1782535584,2026-06-27T04:46:24Z,200,5.7
1782535585,2026-06-27T04:46:25Z,200,3.2
1782535586,2026-06-27T04:46:26Z,200,4.6
1782535587,2026-06-27T04:46:27Z,200,7.3
1782535588,2026-06-27T04:46:28Z,200,4.1
1782535589,2026-06-27T04:46:29Z,200,4.1
1782535590,2026-06-27T04:46:30Z,200,4.1
1782535591,2026-06-27T04:46:31Z,200,3.4
1782535592,2026-06-27T04:46:32Z,200,3.4
1782535593,2026-06-27T04:46:33Z,200,4.8
1782535594,2026-06-27T04:46:34Z,200,3.6
1782535595,2026-06-27T04:46:35Z,200,3.2
1782535596,2026-06-27T04:46:36Z,200,4.5
1782535597,2026-06-27T04:46:37Z,200,5.5
1782535598,2026-06-27T04:46:38Z,200,3.7
1782535599,2026-06-27T04:46:39Z,200,4.3
1782535600,2026-06-27T04:46:40Z,200,4.3
1782535601,2026-06-27T04:46:41Z,200,10.4
1782535602,2026-06-27T04:46:42Z,200,3.5
1782535603,2026-06-27T04:46:44Z,200,2.4
1782535605,2026-06-27T04:46:45Z,200,4.1
1782535606,2026-06-27T04:46:46Z,200,6.0
1782535607,2026-06-27T04:46:47Z,200,5.2
1782535608,2026-06-27T04:46:48Z,200,5.2
1782535609,2026-06-27T04:46:49Z,200,3.4
1782535610,2026-06-27T04:46:50Z,200,6.1
1782535611,2026-06-27T04:46:51Z,200,2.8
1782535612,2026-06-27T04:46:52Z,200,3.1
1782535613,2026-06-27T04:46:53Z,200,5.9
1782535614,2026-06-27T04:46:54Z,200,4.6
1782535615,2026-06-27T04:46:55Z,200,3.7
1782535616,2026-06-27T04:46:56Z,200,3.3
1782535617,2026-06-27T04:46:57Z,200,3.6
1782535618,2026-06-27T04:46:58Z,200,4.2
1782535619,2026-06-27T04:46:59Z,200,3.0
1782535620,2026-06-27T04:47:00Z,200,5.0
1782535621,2026-06-27T04:47:01Z,200,5.6
1782535622,2026-06-27T04:47:02Z,200,4.9
1782535623,2026-06-27T04:47:03Z,200,2.5
1782535624,2026-06-27T04:47:04Z,200,3.0
1782535625,2026-06-27T04:47:05Z,200,5.1
1782535626,2026-06-27T04:47:06Z,200,4.5
1782535627,2026-06-27T04:47:07Z,200,3.8
1782535628,2026-06-27T04:47:08Z,200,4.4
1782535629,2026-06-27T04:47:09Z,200,2.8
1782535630,2026-06-27T04:47:10Z,200,2.5
1782535631,2026-06-27T04:47:11Z,200,3.4
1782535632,2026-06-27T04:47:12Z,200,4.5
1782535633,2026-06-27T04:47:13Z,200,3.5
1782535634,2026-06-27T04:47:14Z,200,7.1
1782535635,2026-06-27T04:47:15Z,200,3.1
1782535636,2026-06-27T04:47:16Z,200,2.5
1782535637,2026-06-27T04:47:17Z,200,3.5
1782535638,2026-06-27T04:47:19Z,200,4.6
1782535640,2026-06-27T04:47:20Z,200,2.4
1782535641,2026-06-27T04:47:21Z,200,5.5
1782535642,2026-06-27T04:47:22Z,200,8.4
1782535643,2026-06-27T04:47:23Z,200,3.7
1782535644,2026-06-27T04:47:24Z,200,4.6
1782535645,2026-06-27T04:47:25Z,200,11.2
1782535646,2026-06-27T04:47:26Z,200,4.2
1782535647,2026-06-27T04:47:27Z,200,3.5
1782535648,2026-06-27T04:47:28Z,200,3.5
1782535649,2026-06-27T04:47:29Z,200,3.9
1782535650,2026-06-27T04:47:30Z,200,4.1
1782535651,2026-06-27T04:47:31Z,200,5.7
1782535652,2026-06-27T04:47:32Z,200,5.7
1782535653,2026-06-27T04:47:33Z,200,7.2
1782535654,2026-06-27T04:47:34Z,200,10.7
1782535655,2026-06-27T04:47:35Z,200,6.5
1782535656,2026-06-27T04:47:36Z,200,2.4
1782535657,2026-06-27T04:47:37Z,200,4.2
1782535658,2026-06-27T04:47:38Z,200,6.8
1782535659,2026-06-27T04:47:39Z,200,4.8
1782535660,2026-06-27T04:47:40Z,200,2.3
1782535661,2026-06-27T04:47:41Z,200,2.5
1782535662,2026-06-27T04:47:42Z,200,3.5
1782535663,2026-06-27T04:47:43Z,200,7.4
1782535664,2026-06-27T04:47:44Z,200,3.6
1782535665,2026-06-27T04:47:45Z,200,5.9
1782535666,2026-06-27T04:47:46Z,200,3.9
1782535667,2026-06-27T04:47:47Z,200,2.3
1782535668,2026-06-27T04:47:48Z,200,4.8
1782535669,2026-06-27T04:47:49Z,200,2.6
1782535670,2026-06-27T04:47:50Z,200,4.1
1782535671,2026-06-27T04:47:51Z,200,4.6
1782535672,2026-06-27T04:47:53Z,200,6.7
1782535674,2026-06-27T04:47:54Z,200,9.9
1782535675,2026-06-27T04:47:55Z,200,5.4
1782535676,2026-06-27T04:47:56Z,200,2.4
1782535677,2026-06-27T04:47:57Z,200,4.6
1782535678,2026-06-27T04:47:58Z,200,2.4
1782535679,2026-06-27T04:47:59Z,200,7.4
1782535680,2026-06-27T04:48:00Z,200,4.1
1782535681,2026-06-27T04:48:01Z,200,6.2
1782535682,2026-06-27T04:48:02Z,200,4.9
1782535683,2026-06-27T04:48:03Z,200,5.2
1782535684,2026-06-27T04:48:04Z,200,3.7
1782535685,2026-06-27T04:48:05Z,200,4.6
1782535686,2026-06-27T04:48:06Z,200,5.8
1782535687,2026-06-27T04:48:07Z,200,6.7
1782535688,2026-06-27T04:48:08Z,200,5.1
1782535689,2026-06-27T04:48:09Z,200,2.2
1782535690,2026-06-27T04:48:10Z,200,4.4
1782535691,2026-06-27T04:48:11Z,200,2.3
1782535692,2026-06-27T04:48:12Z,200,2.5
1782535693,2026-06-27T04:48:13Z,200,4.9
1782535694,2026-06-27T04:48:14Z,200,2.2
1782535695,2026-06-27T04:48:15Z,200,3.2
1782535696,2026-06-27T04:48:16Z,200,5.5
1782535697,2026-06-27T04:48:17Z,200,3.4
1782535698,2026-06-27T04:48:18Z,200,9.2
1782535699,2026-06-27T04:48:19Z,200,8.3
1782535700,2026-06-27T04:48:20Z,200,6.8
1782535701,2026-06-27T04:48:21Z,200,3.6
1782535702,2026-06-27T04:48:22Z,200,5.2
1782535703,2026-06-27T04:48:23Z,200,4.3
1782535704,2026-06-27T04:48:24Z,200,2.2
1782535705,2026-06-27T04:48:25Z,200,3.3
1782535706,2026-06-27T04:48:26Z,200,4.1
1782535708,2026-06-27T04:48:28Z,200,4.1
1782535709,2026-06-27T04:48:29Z,200,2.9
1782535710,2026-06-27T04:48:30Z,200,3.1
1782535711,2026-06-27T04:48:31Z,200,4.1
1782535712,2026-06-27T04:48:32Z,200,2.9
1782535713,2026-06-27T04:48:33Z,200,2.5
1782535714,2026-06-27T04:48:34Z,200,4.8
1782535715,2026-06-27T04:48:35Z,200,6.2
1782535716,2026-06-27T04:48:36Z,200,2.6
1782535717,2026-06-27T04:48:37Z,200,2.5
1782535718,2026-06-27T04:48:38Z,200,4.6
1782535719,2026-06-27T04:48:39Z,200,5.9
1782535720,2026-06-27T04:48:40Z,200,5.1
1782535721,2026-06-27T04:48:41Z,200,3.7
1782535722,2026-06-27T04:48:42Z,200,5.0
1782535723,2026-06-27T04:48:43Z,200,7.5
1782535724,2026-06-27T04:48:44Z,200,7.2
1782535725,2026-06-27T04:48:45Z,200,6.9
1782535726,2026-06-27T04:48:46Z,200,4.3
1782535727,2026-06-27T04:48:47Z,200,2.3
1782535728,2026-06-27T04:48:48Z,200,5.2
1782535729,2026-06-27T04:48:49Z,200,3.0
1782535730,2026-06-27T04:48:50Z,200,3.0
1782535731,2026-06-27T04:48:51Z,200,4.4
1782535732,2026-06-27T04:48:52Z,200,6.2
1782535733,2026-06-27T04:48:53Z,200,5.1
1782535734,2026-06-27T04:48:54Z,200,2.7
1782535735,2026-06-27T04:48:55Z,200,7.4
1782535736,2026-06-27T04:48:56Z,200,7.3
1782535737,2026-06-27T04:48:57Z,200,3.2
1782535738,2026-06-27T04:48:58Z,200,5.4
1782535739,2026-06-27T04:48:59Z,200,2.3
1782535740,2026-06-27T04:49:00Z,200,2.8
1782535741,2026-06-27T04:49:02Z,200,2.7
1782535743,2026-06-27T04:49:03Z,200,8.8
1782535744,2026-06-27T04:49:04Z,200,5.1
1782535745,2026-06-27T04:49:05Z,200,2.4
1782535746,2026-06-27T04:49:06Z,200,4.2
1782535747,2026-06-27T04:49:07Z,200,4.5
1782535748,2026-06-27T04:49:08Z,200,3.0
1782535749,2026-06-27T04:49:09Z,200,2.1
1782535750,2026-06-27T04:49:10Z,200,6.9
1782535751,2026-06-27T04:49:11Z,200,6.3
1782535752,2026-06-27T04:49:12Z,200,4.0
1782535753,2026-06-27T04:49:13Z,200,8.5
1782535754,2026-06-27T04:49:14Z,200,4.6
1782535755,2026-06-27T04:49:15Z,200,3.9
1782535756,2026-06-27T04:49:16Z,200,4.6
1782535757,2026-06-27T04:49:17Z,200,5.3
1782535758,2026-06-27T04:49:18Z,200,2.3
1782535759,2026-06-27T04:49:19Z,200,7.4
1782535760,2026-06-27T04:49:20Z,200,3.3
1782535761,2026-06-27T04:49:21Z,200,4.3
1782535762,2026-06-27T04:49:22Z,200,2.4
1782535763,2026-06-27T04:49:23Z,200,6.0
1782535764,2026-06-27T04:49:24Z,200,5.1
1782535765,2026-06-27T04:49:25Z,200,3.2
1782535766,2026-06-27T04:49:26Z,200,2.8
1782535767,2026-06-27T04:49:27Z,200,3.6
1782535768,2026-06-27T04:49:28Z,200,4.4
1782535769,2026-06-27T04:49:29Z,200,5.1
1782535770,2026-06-27T04:49:30Z,200,3.7
1782535771,2026-06-27T04:49:31Z,200,5.1
1782535772,2026-06-27T04:49:32Z,200,6.4
1782535773,2026-06-27T04:49:33Z,200,4.1
1782535774,2026-06-27T04:49:34Z,200,6.9
1782535775,2026-06-27T04:49:35Z,200,4.0
1782535776,2026-06-27T04:49:37Z,200,2.8
1782535778,2026-06-27T04:49:38Z,200,3.3
1782535779,2026-06-27T04:49:39Z,200,4.3
1782535780,2026-06-27T04:49:40Z,200,4.6
1782535781,2026-06-27T04:49:41Z,200,3.8
1782535782,2026-06-27T04:49:42Z,200,4.1
1782535783,2026-06-27T04:49:43Z,200,6.4
1782535784,2026-06-27T04:49:44Z,200,6.9
1782535785,2026-06-27T04:49:45Z,200,2.6
1782535786,2026-06-27T04:49:46Z,200,6.0
1782535787,2026-06-27T04:49:47Z,200,4.8
1782535788,2026-06-27T04:49:48Z,200,2.1
1782535789,2026-06-27T04:49:49Z,200,3.1
1782535790,2026-06-27T04:49:50Z,200,2.8
1782535791,2026-06-27T04:49:51Z,200,4.4
1782535792,2026-06-27T04:49:52Z,200,2.0
1782535793,2026-06-27T04:49:53Z,200,12.2
1782535794,2026-06-27T04:49:54Z,200,5.3
1782535795,2026-06-27T04:49:55Z,200,4.5
1782535796,2026-06-27T04:49:56Z,200,5.8
1782535797,2026-06-27T04:49:57Z,200,2.8
1782535798,2026-06-27T04:49:58Z,200,2.0
1782535799,2026-06-27T04:49:59Z,200,3.8
