stack,concurrency,mode,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err,write_rps,write_p50_ms,write_p99_ms,read_rps,read_p50_ms,read_p99_ms
kotlin-vertx,1,mixed,4434,0.235,0.300,0.454,1.220,6.086,266066,0,3547,0.242,0.465,888,0.087,0.160
kotlin-vertx,8,mixed,25237,0.301,0.485,0.797,2.427,26.868,1514210,0,20197,0.323,0.832,5039,0.098,0.350
kotlin-vertx,32,mixed,32747,0.961,1.258,2.306,5.104,29.204,1964841,0,26191,1.021,2.442,6556,0.595,1.448
kotlin-vertx,64,mixed,32404,1.934,2.256,4.124,7.582,38.326,1944214,0,25911,1.994,4.312,6493,1.560,3.376
kotlin-vertx,128,mixed,32067,3.874,4.275,8.238,13.182,79.641,1924008,0,25658,3.936,8.394,6408,3.494,7.616
kotlin-vertx,256,mixed,31623,7.768,8.575,16.352,24.767,59.133,1897431,0,25286,7.835,16.479,6338,7.384,15.791
